Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cliente,Chrome 77.0.3865.120,,,2019-10-31 18:24:41,2019-10-31 18:27:18,"2m - 36,996s",INCOMPLETE
,,,,,,,
Test Cases/Clientes/ValidarIngresoApp,Chrome 77.0.3865.120,,,2019-10-31 18:24:41,2019-10-31 18:24:51,"9,523s",PASSED
"runFeatureFile(""Include/features/Clientes/ValidarIngresoApp.feature"")",Chrome 77.0.3865.120,,,2019-10-31 18:24:42,2019-10-31 18:24:51,"9,188s",PASSED
,,,,,,,
Test Cases/Clientes/CrearCliente,Chrome 77.0.3865.120,,,2019-10-31 18:24:51,2019-10-31 18:26:51,"2m - 0,618s",PASSED
"runFeatureFile(""Include/features/Clientes/CrearCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 18:24:51,2019-10-31 18:26:51,"2m - 0,402s",PASSED
,,,,,,,
Test Cases/Clientes/ModificarCLiente,Chrome 77.0.3865.120,,,2019-10-31 18:26:51,2019-10-31 18:27:06,"15,008s",PASSED
"runFeatureFile(""Include/features/Clientes/ModificarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 18:26:52,2019-10-31 18:27:06,"14,812s",PASSED
,,,,,,,
Test Cases/Clientes/ConsultaCliente,Chrome 77.0.3865.120,,,2019-10-31 18:27:06,2019-10-31 18:27:18,"11,514s",PASSED
"runFeatureFile(""Include/features/Clientes/ConsultarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 18:27:07,2019-10-31 18:27:18,"11,302s",PASSED
